sale_id,Product,quantity_sold,each_price,sale_date,Purchase Address,sales,day,month,year
176558,USB-C Charging Cable,2.0,11.95,2019-04-19 08:46:00,"917 1st St, Dallas, TX 75001",23.9,19.0,4.0,2019.0
,,0.0,0.0,,,0.0,,,
176559,Bose SoundSport Headphones,1.0,99.99,2019-04-07 22:30:00,"682 Chestnut St, Boston, MA 02215",99.99,7.0,4.0,2019.0
176560,Google Phone,1.0,600.0,2019-04-12 14:38:00,"669 Spruce St, Los Angeles, CA 90001",600.0,12.0,4.0,2019.0
176560,Wired Headphones,1.0,11.99,2019-04-12 14:38:00,"669 Spruce St, Los Angeles, CA 90001",11.99,12.0,4.0,2019.0
176561,Wired Headphones,1.0,11.99,2019-04-30 09:27:00,"333 8th St, Los Angeles, CA 90001",11.99,30.0,4.0,2019.0
176562,USB-C Charging Cable,1.0,11.95,2019-04-29 13:03:00,"381 Wilson St, San Francisco, CA 94016",11.95,29.0,4.0,2019.0
176563,Bose SoundSport Headphones,1.0,99.99,2019-04-02 07:46:00,"668 Center St, Seattle, WA 98101",99.99,2.0,4.0,2019.0
176564,USB-C Charging Cable,1.0,11.95,2019-04-12 10:58:00,"790 Ridge St, Atlanta, GA 30301",11.95,12.0,4.0,2019.0
176565,Macbook Pro Laptop,1.0,1700.0,2019-04-24 10:38:00,"915 Willow St, San Francisco, CA 94016",1700.0,24.0,4.0,2019.0
176566,Wired Headphones,1.0,11.99,2019-04-08 14:05:00,"83 7th St, Boston, MA 02215",11.99,8.0,4.0,2019.0
176567,Google Phone,1.0,600.0,2019-04-18 17:18:00,"444 7th St, Los Angeles, CA 90001",600.0,18.0,4.0,2019.0
176568,Lightning Charging Cable,1.0,14.95,2019-04-15 12:18:00,"438 Elm St, Seattle, WA 98101",14.95,15.0,4.0,2019.0
176569,27in 4K Gaming Monitor,1.0,389.99,2019-04-16 19:23:00,"657 Hill St, Dallas, TX 75001",389.99,16.0,4.0,2019.0
176570,AA Batteries (4-pack),1.0,3.84,2019-04-22 15:09:00,"186 12th St, Dallas, TX 75001",3.84,22.0,4.0,2019.0
176571,Lightning Charging Cable,1.0,14.95,2019-04-19 14:29:00,"253 Johnson St, Atlanta, GA 30301",14.95,19.0,4.0,2019.0
176572,Apple Airpods Headphones,1.0,150.0,2019-04-04 20:30:00,"149 Dogwood St, New York City, NY 10001",150.0,4.0,4.0,2019.0
176573,USB-C Charging Cable,1.0,11.95,2019-04-27 18:41:00,"214 Chestnut St, San Francisco, CA 94016",11.95,27.0,4.0,2019.0
176574,Google Phone,1.0,600.0,2019-04-03 19:42:00,"20 Hill St, Los Angeles, CA 90001",600.0,3.0,4.0,2019.0
176574,USB-C Charging Cable,1.0,11.95,2019-04-03 19:42:00,"20 Hill St, Los Angeles, CA 90001",11.95,3.0,4.0,2019.0
176575,AAA Batteries (4-pack),1.0,2.99,2019-04-27 00:30:00,"433 Hill St, New York City, NY 10001",2.99,27.0,4.0,2019.0
176576,Apple Airpods Headphones,1.0,150.0,2019-04-28 11:42:00,"771 Ridge St, Los Angeles, CA 90001",150.0,28.0,4.0,2019.0
176577,Apple Airpods Headphones,1.0,150.0,2019-04-04 19:25:00,"260 Spruce St, Dallas, TX 75001",150.0,4.0,4.0,2019.0
176578,Apple Airpods Headphones,1.0,150.0,2019-04-09 23:35:00,"513 Church St, Boston, MA 02215",150.0,9.0,4.0,2019.0
176579,AA Batteries (4-pack),1.0,3.84,2019-04-11 10:23:00,"886 Jefferson St, New York City, NY 10001",3.84,11.0,4.0,2019.0
176580,USB-C Charging Cable,1.0,11.95,2019-04-05 00:35:00,"886 Willow St, Los Angeles, CA 90001",11.95,5.0,4.0,2019.0
